method	nsnp	beta	se	pval	gene	OR	OR_low	OR_high	p_FDR	low	high	label
Wald ratio	1	0.172307537147681	0.165841578709061	0.298809961161598	HMOX1	1.1880431444376	0.858351184646665	1.64436950550281	0.597619922323196	-0.152741957122079	0.497357031417441	FDR = 0.598
Wald ratio	1	0.0183640413845358	0.129374483782671	0.8871235696694	NLRP3	1.01853369732419	0.790404889207404	1.31250566228806	0.8871235696694	-0.235209946829499	0.271938029598571	FDR = 0.887
Wald ratio	1	-0.439508723046486	0.239185877833786	0.0661332352861868	STAT3	0.644352899066847	0.403203837927572	1.02972893479856	0.264532941144747	-0.908313043600707	0.0292955975077345	FDR = 0.265
Wald ratio	1	-0.0148176104095522	0.0663256212942752	0.823218729411982	TLR4	0.985291630152617	0.865181620541292	1.12207607443329	0.8871235696694	-0.144815828146332	0.115180607327227	FDR = 0.887
