accession	subject	region	tissue
GSM596842	27	PH	PH
GSM596843	27	CG	Contralateral
GSM596844	27	CW	Contralateral
GSM596845	28	PH	PH
GSM596846	28	CG	Contralateral
GSM596847	28	CW	Contralateral
GSM596848	30	PH	PH
GSM596849	30	CG	Contralateral
GSM596850	31	PH	PH
GSM596851	31	CG	Contralateral
GSM596852	31	CW	Contralateral
