sample	group	hour	replicate
GSM8255340	0-6h	2	1
GSM8255341	0-6h	3	2
GSM8255342	0-6h	2	3
GSM8255343	6-24h	12	1
GSM8255344	6-24h	12	2
GSM8255345	6-24h	12	3
GSM8255346	24-48h	26	1
GSM8255347	24-48h	28	2
GSM8255348	24-48h	32	3
