sample	accession	title	internal_id	cell_type	source	patient	day	replicate	bio_id
ICHSeqBatch6redo_A07	GSM4975796	CD14+ monos/macs from blood of ICH patient number 2046 on day 1 of study - replicate 1	ICHSeqBatch6redo_A07	Monocyte	ICHBlood	2046	1	1	Monocyte|ICHBlood|2046|1
ICHSeqBatch6redo_B09	GSM4975893	CD14+ monos/macs from blood of ICH patient number 2421 on day 2 of study - replicate 1	ICHSeqBatch6redo_B09	Monocyte	ICHBlood	2421	2	1	Monocyte|ICHBlood|2421|2
ICHSeqBatch9_A05	GSM4975832	CD14+ monos/macs from blood of ICH patient number 2449 on day 5 of study - replicate 1	ICHSeqBatch9_A05	Monocyte	ICHBlood	2449	5	1	Monocyte|ICHBlood|2449|5
ICHSeqBatch6redo_A05	GSM4975800	CD14+ monos/macs from hematoma of ICH patient number 2046 on day 2 of study - replicate 2	ICHSeqBatch6redo_A05	Monocyte	Hematoma	2046	2	2	Monocyte|Hematoma|2046|2
ICHSeqBatch6redo_A11	GSM4975802	CD14+ monos/macs from blood of ICH patient number 2046 on day 3 of study - replicate 2	ICHSeqBatch6redo_A11	Monocyte	ICHBlood	2046	3	2	Monocyte|ICHBlood|2046|3
ICHSeqBatch9_D05	GSM4975821	CD14+ monos/macs from blood of ICH patient number 2145 on day 4 of study - replicate 1	ICHSeqBatch9_D05	Monocyte	ICHBlood	2145	4	1	Monocyte|ICHBlood|2145|4
ICHSeqBatch6redo_B07	GSM4975901	CD14+ monos/macs from hematoma of ICH patient number 2421 on day 4 of study - replicate 2	ICHSeqBatch6redo_B07	Monocyte	Hematoma	2421	4	2	Monocyte|Hematoma|2421|4
ICHSeqBatch9_B06	GSM4975885	CD14+ monos/macs from hematoma of ICH patient number 2404 on day 1 of study - replicate 1	ICHSeqBatch9_B06	Monocyte	Hematoma	2404	1	1	Monocyte|Hematoma|2404|1
ICHSeqBatch6redo_A06	GSM4975805	CD14+ monos/macs from hematoma of ICH patient number 2046 on day 4 of study - replicate 2	ICHSeqBatch6redo_A06	Monocyte	Hematoma	2046	4	2	Monocyte|Hematoma|2046|4
ICHSeqBatch7redo_B05	GSM4975880	CD14+ monos/macs from blood of ICH patient number 2133 on day 3 of study - replicate 2	ICHSeqBatch7redo_B05	Monocyte	ICHBlood	2133	3	2	Monocyte|ICHBlood|2133|3
ICHSeqBatch7redo_A09	GSM4975875	CD14+ monos/macs from hematoma of ICH patient number 2133 on day 1 of study - replicate 1	ICHSeqBatch7redo_A09	Monocyte	Hematoma	2133	1	1	Monocyte|Hematoma|2133|1
ICHSeqBatch7redo_A10	GSM4975876	CD14+ monos/macs from hematoma of ICH patient number 2133 on day 1 of study - replicate 2	ICHSeqBatch7redo_A10	Monocyte	Hematoma	2133	1	2	Monocyte|Hematoma|2133|1
ICHSeqBatch7redo_A08	GSM4975858	CD14+ monos/macs from blood of ICH patient number 2026 on day 5 of study - replicate 2	ICHSeqBatch7redo_A08	Monocyte	ICHBlood	2026	5	2	Monocyte|ICHBlood|2026|5
ICHSeqBatch7redo_D12	GSM4975852	CD14+ monos/macs from blood of ICH patient number 2026 on day 3 of study - replicate 1	ICHSeqBatch7redo_D12	Monocyte	ICHBlood	2026	3	1	Monocyte|ICHBlood|2026|3
ICHSeqBatch7redo_A07	GSM4975849	CD14+ monos/macs from blood of ICH patient number 2026 on day 2 of study - replicate 2	ICHSeqBatch7redo_A07	Monocyte	ICHBlood	2026	2	2	Monocyte|ICHBlood|2026|2
ICHSeqBatch7redo_A06	GSM4975960	CD14+ monos/macs from blood of healthy control number HC067591 on day 1 of study - replicate 1	ICHSeqBatch7redo_A06	Monocyte	ICHBlood	CD14+ monos/macs from blood of healthy control number HC067591 on day 1 of study - replicate 1	1	1	Monocyte|ICHBlood|CD14+ monos/macs from blood of healthy control number HC067591 on day 1 of study - replicate 1|1
ICHSeqBatch6redo_D08	GSM4975953	CD14+ monos/macs from blood of ICH patient number 2287 on day 3 of study - replicate 1	ICHSeqBatch6redo_D08	Monocyte	ICHBlood	2287	3	1	Monocyte|ICHBlood|2287|3
