gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	direction
TIMP1	4.60030239327755	9.20383075022548	33.5999653797135	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000375250706868162	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000406518609327447	213.582737011694	up_in_hematoma
CTSL1	5.69887033682604	2.91280547187896	33.5112905905939	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000665714581720211	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000406518609327447	212.976631667929	up_in_hematoma
TGM2	9.3517311955951	3.0393516802427	32.6366113887185	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199954287970922	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000814013906329623	206.987934085204	up_in_hematoma
LDHA	2.56402616821231	9.96170941208677	32.2977048409079	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000186929672092606	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000486676178584314	205.027983856385	up_in_hematoma
SPP1	11.403969860681	3.10103669274871	32.2880618037932	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199245139844557	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000486676178584314	204.666116312483	up_in_hematoma
PLIN2	4.47315128324225	7.8067756222177	30.1350736341429	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000040741389882678	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000829290991061911	190.490527634261	up_in_hematoma
INSIG1	3.85017601488696	6.54055953093465	29.7845021663647	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000458362783990666	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000799712097268286	188.147616524812	up_in_hematoma
TPI1	2.39401770429131	9.90997666816813	29.6406528648814	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000124298304394965	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000189756898946963	187.012566731412	up_in_hematoma
DHRS3	8.06630672792527	0.789189914820902	29.2620489864088	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000173840290060654	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000235901273612308	184.169918289748	up_in_hematoma
PHACTR1	4.97209240785078	2.81580201026684	29.2285479075329	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000219736985045113	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000268364779835597	184.025270746705	up_in_hematoma
